,open,high,low,close,symbol,volume,inflation,unemployment,retail_sales,CPI,MACD,MACD_Signal,RSI,stoch-slowK,stoch-slowD,volume_shift,unemployment_shift,retail_sales_shift
2024-02-15,107.02,107.34,105.83,106.05,NKE,7019618.0,8.00279982052121,3.7,554784.0,308.417,0.0293,-0.7664,54.7524,64.4738,73.2061,10086580.0,3.7,554784.0
2024-02-14,104.82,106.42,104.46,106.33,NKE,5743277.0,8.00279982052121,3.7,554784.0,308.417,-0.1351,-0.9653,55.5998,74.6893,81.6098,8051815.0,3.7,554784.0
2024-02-13,104.99,105.8,104.245,105.0,NKE,6180509.0,8.00279982052121,3.7,554784.0,308.417,-0.3714,-1.1729,52.347,80.4553,85.7871,8690871.0,3.7,554784.0
2024-02-12,104.74,107.43,104.645,107.18,NKE,7501946.0,8.00279982052121,3.7,554784.0,308.417,-0.5321,-1.3733,58.9164,89.6848,85.3288,9601810.0,3.7,554784.0
2024-02-09,103.8,104.94,103.33,104.5,NKE,5449022.0,8.00279982052121,3.7,554784.0,308.417,-0.9516,-1.5835,52.0466,87.2212,74.2464,7287568.0,3.7,554784.0
2024-02-08,104.43,104.96,103.045,103.77,NKE,6330409.0,8.00279982052121,3.7,554784.0,308.417,-1.2002,-1.7415,49.9288,79.0805,56.9444,5785038.0,3.7,554784.0
2024-02-07,102.39,104.34,102.35,103.79,NKE,9447765.0,8.00279982052121,3.7,554784.0,308.417,-1.4258,-1.8769,49.985,56.4376,38.2771,2443610.0,3.7,554784.0
2024-02-06,99.5,102.63,99.13,102.61,NKE,11372407.0,8.00279982052121,3.7,554784.0,308.417,-1.695,-1.9896,46.7006,35.3151,29.6239,6280910.0,3.7,554784.0
2024-02-05,100.5,100.59,99.0531,99.68,NKE,10097935.0,8.00279982052121,3.7,554784.0,308.417,-1.8938,-2.0633,37.1908,23.0786,35.8659,5803549.0,3.7,554784.0
2024-02-02,100.88,101.4099,99.43,100.71,NKE,8966927.0,8.00279982052121,3.7,554784.0,308.417,-1.8217,-2.1056,39.4908,30.4779,53.476,6198621.0,3.7,554784.0
2024-02-01,101.9,102.2494,100.61,101.76,NKE,7666694.0,8.00279982052121,3.7,554784.0,308.417,-1.8081,-2.1766,41.9464,54.0412,74.1223,6353975.0,3.7,554784.0
2024-01-31,104.09,104.3,101.12,101.53,NKE,11547638.0,8.00279982052121,3.7,554784.0,308.417,-1.8713,-2.2687,41.2028,75.9088,81.0148,5386979.0,3.7,554784.0
2024-01-30,103.34,104.31,103.13,104.18,NKE,7542837.0,8.00279982052121,3.7,554784.0,308.417,-1.9013,-2.3681,47.7464,92.417,74.7007,11140831.0,3.7,554784.0
2024-01-29,102.88,104.01,101.34,103.88,NKE,8860834.0,8.00279982052121,3.7,554784.0,308.417,-2.1817,-2.4848,46.8592,74.7187,63.4612,9674819.0,3.7,554784.0
2024-01-26,101.57,103.27,101.22,102.75,NKE,9735779.0,8.00279982052121,3.7,554784.0,308.417,-2.4774,-2.5606,43.5043,56.9663,55.4251,7055631.0,3.7,554784.0
2024-01-25,101.53,101.74,100.09,100.77,NKE,10063746.0,8.00279982052121,3.7,554784.0,308.417,-2.7037,-2.5814,37.0367,58.6985,52.0069,8897927.0,3.7,554784.0
2024-01-24,101.78,101.8,100.69,100.76,NKE,7860208.0,8.00279982052121,3.7,554784.0,308.417,-2.7516,-2.5508,37.0029,50.6106,39.6863,9154218.0,3.7,554784.0
2024-01-23,101.63,102.14,101.23,101.9,NKE,8208026.0,8.00279982052121,3.7,554784.0,308.417,-2.7718,-2.5006,39.2338,46.7116,28.9482,8639736.0,3.7,554784.0
2024-01-22,101.75,101.81,100.09,100.56,NKE,9897443.0,8.00279982052121,3.7,554784.0,308.417,-2.8732,-2.4328,34.9533,21.7367,16.7907,7745848.0,3.7,554784.0
2024-01-19,101.02,102.18,99.67,101.78,NKE,8517208.0,8.00279982052121,3.7,554784.0,308.417,-2.8245,-2.3227,37.1667,18.3963,19.4725,5231865.0,3.7,554784.0
2024-01-18,101.0,101.425,100.07,100.94,NKE,8852439.0,8.00279982052121,3.7,554784.0,308.417,-2.8454,-2.1973,34.5155,10.2392,33.0333,7567959.0,3.7,554784.0
2024-01-17,101.05,101.31,100.24,100.82,NKE,8226243.0,8.00279982052121,3.7,554784.0,308.417,-2.7452,-2.0353,34.1469,29.782,59.3004,8135111.0,3.7,554784.0
2024-01-16,103.94,104.2199,101.36,101.72,NKE,10547901.0,8.00279982052121,3.7,554784.0,308.417,-2.5651,-1.8578,35.54,59.0788,72.9437,7272370.0,3.7,554784.0
